municipio,ano,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Maraba,2006,0.5971521419467831,0.8794417494580549,0.4198166825258097,0.6746020155662662,1874.6097395765316,24.747073612887895,28.51026140745926,15.302502669418196,1396.9998037877865,1504208,2000.0
Medicilandia,2006,0.5537316617908613,0.8997025523141237,0.3841960866093582,0.6791029719637423,2345.894135083804,24.748230628548185,28.65951650732637,14.172113002239406,1901.3623001737092,1504455,3000.0
Novo Progresso,2006,0.7030433739935341,0.8865856605402304,0.4508374036985099,0.6454133008325068,2134.6546024963886,23.9940609620658,28.078550573209885,15.607683503203893,2039.8999209046442,1505031,2720.0
Paragominas,2006,0.6325413077469345,0.8847974118101699,0.41892513303947776,0.6623219007178015,1935.4904730222906,25.47459994809458,29.82771027945073,15.955872191467092,2673.624435440125,1505502,3000.0
Placas,2006,0.6077697299836101,0.9039548077896408,0.40958085091210644,0.6633207638939395,1910.4025710275587,24.41664825747408,28.325400857848717,14.218970092335432,1723.9169740474522,1505650,3000.0
Redencao,2006,0.6991928932168269,0.8370488375129973,0.48035425790872427,0.6312042321524697,1799.4938770573508,25.06075421435851,28.943669327974714,16.38812790546036,1165.911770052466,1506138,2400.0
Santa Maria Das Barreiras,2006,0.6742201332477056,0.8325081717609067,0.4534813660701457,0.6160844506764891,1774.7784339630132,25.000258942404596,28.930293984400365,16.41457783759039,1480.0376266505434,1506583,3000.0
Santana Do Araguaia,2006,0.6825766281888779,0.8452077567870264,0.45641492021432084,0.6231893394420058,1762.750278136178,24.969380452094686,28.949369490701294,16.46671281752062,1706.5787323271763,1506708,3300.0
Santarem,2006,0.5454384671389757,0.8100323356971956,0.37108522809648437,0.6162783418657172,2239.19176004396,25.42683658313709,28.52887367325878,14.680825902144624,1564.777388829883,1506807,3000.0
Trairao,2006,0.6221287324206514,0.8843883175164299,0.41421016994985194,0.6632523706724994,2069.819836579039,24.575122111842532,28.55193380896237,14.668963518356515,1874.2583626958049,1508050,2700.0
Ulianopolis,2006,0.6088497620042301,0.863681270492169,0.40510038024150063,0.640251336385136,1856.8599173878044,25.367431462859045,29.511269621575988,15.893182724180662,2046.4944005650987,1508126,2911.0
Uruara,2006,0.5726419157250388,0.8960488233929572,0.3974817080262919,0.6705587889183701,2127.8599584867898,24.424364735173018,28.346677411305976,14.119619418584504,1986.1926224047265,1508159,2600.0
Altamira,2007,0.6751343498563848,0.8989637038219912,0.4579776227469304,0.696238404806915,1708.4246928967832,24.75247853927396,28.879859653211593,16.328119890166167,2372.294972068091,1500602,2000.0
Belterra,2007,0.4574098906361171,0.7174143034722572,0.3224197128678516,0.5548627256778623,1573.4370333704487,26.070340774260544,28.771923417608004,16.301660843289344,1287.2329956794172,1501451,2700.0
Braganca,2007,0.6490414893326995,0.8756416482685825,0.43479509918002,0.6641768419273708,1648.5058751906497,25.984833243064077,29.780188991710773,17.05807066651909,2606.9390131692644,1501709,2347.0
