municipio,ano,soy_area_ha,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Cumaru Do Norte,2013,465.3715455017094,0.6998146957520092,0.8770179104477615,0.5307259471871414,0.7966373134328358,1760.4516296468,24.57105906337592,28.75459255398397,17.13259774256605,1825.673988583428,1502764,3000
Dom Eliseu,2013,13275.72307375331,0.4861364155347692,0.9019669385933854,0.3644924053182916,0.7980633667075845,1766.391933471675,25.57964871878904,29.81709782699992,16.75728180814841,2585.034749437756,1502939,750
Floresta Do Araguaia,2013,466.6803807800302,0.6611773445732348,0.8124219178082193,0.4590517386722865,0.6501054794520547,1471.360040665231,25.91725918773432,29.77540023217579,17.28611264311593,1206.856416112359,1503044,3000
Novo Progresso,2013,13.58331281738283,0.5870461538461538,0.8673500000000001,0.4599230769230769,0.9337000000000001,2215.735071739447,24.4905603471754,28.65765067303949,16.26337349144562,2243.626292215477,1505031,3000
Paragominas,2013,32058.01826836628,0.4858357058788783,0.8657910258298248,0.3735937158216351,0.7820140821313022,1784.815328339343,26.06220451068317,30.54298693446109,16.84918968794286,3017.207842949093,1505502,2900
Placas,2013,9.901265399169924,0.4636923076923077,0.8145,0.3654923076923077,0.6144000000000001,2084.810375085373,25.12653033251279,29.11132078012605,15.6319018475217,2128.428445961388,1505650,2700
Redencao,2013,307.3947068742103,0.6224892307692308,0.8619155555555552,0.4566605128205131,0.8149933333333333,1579.073224045,25.52548514842535,29.50442216758088,17.36463272006237,1247.615710307324,1506138,2500
Rondon Do Para,2013,3748.421656560664,0.4741426276327352,0.9019711651630671,0.3474305075604078,0.8027252334477774,1978.21580416565,25.48196134591031,29.59229022872424,16.56694379677142,2102.546213840574,1506187,3000
Santa Maria Das Barreiras,2013,1488.303189155939,0.65550427705075,0.874351452282158,0.4828275454835618,0.799921991701245,1596.701968649049,25.52407068487447,29.61104037585855,17.506770964821,1628.013483111398,1506583,3109
Santana Do Araguaia,2013,7748.334522144098,0.7009468654152866,0.9082196172248806,0.5439971843945526,0.8524083732057427,1645.139690275384,25.48627428023226,29.62498841100436,17.47000182686766,1864.732564914025,1506708,3300
Santarem,2013,8258.49601520687,0.4413857262028064,0.8521671135325836,0.3367661443675595,0.7546120155833508,2087.172758394673,26.21047090104643,29.36035247428882,16.03659462985361,1953.311277985538,1506807,3000
Ulianopolis,2013,6297.887541273136,0.4786962195593356,0.8729057286432181,0.3668459451101657,0.8033912562814077,1584.698206754694,25.85748449828784,30.08855591867134,16.92273535014926,2229.640135430476,1508126,3300
Uruara,2013,38.57015259399419,0.4365846153846154,0.7330000000000001,0.32185,0.5243,2185.151346588286,25.07708716610626,29.01571918317316,15.01360577329956,2421.939131580623,1508159,2887
Altamira,2014,45.17386942138674,0.5681849206349205,0.8212444444444444,0.4064634920634921,0.7402444444444445,2042.296187704236,24.5386997153866,28.62291347709252,15.97071115310761,2256.079061626502,1500602,3600
Belterra,2014,6052.881165041365,0.455792711492309,0.8234471080038495,0.3386226457260006,0.7458232846378353,1869.538304365181,25.96136670415735,28.68675099130479,16.20709792107801,1308.807083795965,1501451,3000
Conceicao Do Araguaia,2014,238.56304196167,0.6232088571428571,0.8555720000000001,0.4448848571428571,0.7176520000000001,1727.153606120925,25.72176337127011,29.6947568069082,17.28793278736037,1213.718489831027,1502707,3300
Cumaru Do Norte,2014,2994.917586493003,0.6866902180783817,0.9065823008849557,0.5221107300884952,0.7912637168141589,1991.71104386606,24.12064001529852,28.23012235031488,16.55064366520771,1701.825274692904,1502764,3000
Dom Eliseu,2014,22389.00595451414,0.4727817917173027,0.855279503634155,0.3597939583588522,0.7821646114784235,2125.48497194944,25.23025736599856,29.56410521010764,16.76773166591713,2583.33489073311,1502939,3000
Floresta Do Araguaia,2014,1214.284553991695,0.5751666421207661,0.7937546391752578,0.3860216494845363,0.5957773195876289,1737.155487824698,25.55362999785028,29.41070393663686,17.08938812371357,1182.557361605509,1503044,3000
Novo Progresso,2014,136.8233493591313,0.504473949579832,0.8956999999999998,0.3785357142857143,0.865064705882353,2232.497439535645,24.19188213644105,28.37538257863797,16.26098675962417,2172.084422707981,1505031,3000
Paragominas,2014,45400.29496063229,0.4710027753696036,0.8733045161483567,0.3592119225221738,0.7974726603813335,2203.515645280621,25.60487145391548,30.0561691052551,16.66522915323588,2899.89255899843,1505502,2914
Placas,2014,10.25822951049805,0.50865,0.778,0.33085,0.6008,1791.681557687891,24.87355493959163,29.00987707387833,15.70534632955988,2076.492386501248,1505650,2700
Redencao,2014,407.4731592810558,0.5941565759637186,0.8503238095238096,0.4246571428571428,0.7488968253968256,1926.459335153845,25.09517391480251,29.03158222970784,16.78201917566508,1191.487454892127,1506138,3000
Rondon Do Para,2014,8160.206448973682,0.4568840150253004,0.842641418827763,0.3450369388881165,0.7859766653474264,2263.944596629558,25.1946666291022,29.37245323576693,16.7775018637648,2136.852061024812,1506187,3000
Santa Maria Das Barreiras,2014,3724.244876979947,0.6111567619047615,0.8736961666666654,0.4351369404761903,0.7590768333333329,2019.074276852748,25.04507774983085,29.05473851978812,16.79629185031935,1505.915404535946,1506583,3100
Santana Do Araguaia,2014,20840.84257739299,0.6587138298750049,0.8961781114640474,0.4845299224454432,0.7932033208200973,2048.426453077783,24.95914884780041,29.04411285438768,16.82412052337866,1714.785065475334,1506708,3100
Santarem,2014,11223.4151675368,0.4646002332145722,0.8259090169121348,0.3440483224770742,0.7346602495128307,1867.516172209104,25.82802537542558,28.98889983196228,16.1748144710818,1839.540886006049,1506807,3000
Ulianopolis,2014,11081.95628714362,0.4622058382031293,0.858140154596368,0.348107976223432,0.7861656661910954,1990.203846628527,25.47985596477191,29.7807884207452,16.70530838226895,2224.612577051109,1508126,3300
